speed_mps,power_lufs,power_steady_lufs,brake_lufs,brake_steady_lufs,mechanical_lufs,cruising_lufs,heard_power_sweep_lufs,heard_power_steady_lufs,heard_brake_sweep_lufs,heard_brake_steady_lufs
35.0,-20.12,-31.74,-19.92,-29.51,-22.55,-27.94,-18.15,-22.03,-18.02,-21.73
35.5,-20.15,-30.82,-19.98,-29.47,-22.39,-27.97,-18.11,-21.78,-18.0,-21.59
36.0,-20.18,-29.75,-20.03,-29.39,-22.25,-28.01,-18.07,-21.52,-17.98,-21.46
36.5,-20.2,-30.81,-20.08,-29.46,-22.11,-28.04,-18.03,-21.54,-17.96,-21.36
37.0,-20.23,-31.76,-20.13,-29.52,-21.93,-28.08,-17.98,-21.48,-17.92,-21.21
37.5,-20.25,-32.42,-20.19,-29.57,-21.77,-28.11,-17.92,-21.39,-17.89,-21.08
38.0,-20.28,-32.63,-20.24,-29.61,-21.65,-28.15,-17.89,-21.3,-17.87,-20.99
38.5,-20.31,-32.3,-20.3,-29.64,-21.52,-28.19,-17.85,-21.15,-17.85,-20.88
39.0,-20.34,-31.55,-20.35,-29.65,-21.35,-28.22,-17.8,-20.94,-17.8,-20.73
39.5,-20.37,-30.57,-20.41,-29.65,-21.24,-28.26,-17.76,-20.74,-17.79,-20.64
40.0,-20.26,-29.49,-20.46,-29.65,-21.08,-28.29,-17.63,-20.48,-17.74,-20.5
